Postazione;Codice Dispaccio;Numero Documenti;Data Registrazione;
engine;100000254573;120;26/02/2026 00:04:34;
engine;100000254580;112;26/02/2026 01:06:10;
engine;100000254584;76;26/02/2026 02:04:01;
engine;100000254588;90;26/02/2026 03:04:13;
engine;100000254593;110;26/02/2026 04:07:29;
engine;100000254597;78;26/02/2026 05:08:01;
engine;100000254605;126;26/02/2026 06:08:35;
engine;100000254610;108;26/02/2026 07:06:41;
engine;100000254614;90;26/02/2026 08:07:53;
engine;100000254619;150;26/02/2026 09:14:54;
engine;100000254623;136;26/02/2026 09:23:44;
engine;100000254627;150;26/02/2026 10:06:31;
engine;100000254631;150;26/02/2026 10:07:54;
engine;100000254634;128;26/02/2026 10:06:17;
engine;100000254639;150;26/02/2026 11:08:36;
engine;100000254643;150;26/02/2026 11:13:02;
engine;100000254646;82;26/02/2026 11:12:48;
engine;100000254652;150;26/02/2026 12:06:18;
engine;100000254655;150;26/02/2026 12:23:08;
engine;100000254658;60;26/02/2026 12:07:28;
engine;100000254660;150;26/02/2026 13:07:49;
engine;100000254665;150;26/02/2026 13:07:28;
engine;100000254668;94;26/02/2026 13:07:14;
engine;100000254670;150;26/02/2026 14:05:34;
engine;100000254674;150;26/02/2026 14:07:20;
engine;100000254676;10;26/02/2026 14:06:36;
engine;100000254680;146;26/02/2026 16:43:42;
engine;100000254684;78;26/02/2026 19:22:02;
engine;100000254690;54;26/02/2026 20:05:16;
engine;100000254694;76;26/02/2026 20:29:38;
engine;100000254699;144;26/02/2026 21:08:21;
engine;100000254702;82;26/02/2026 21:42:07;
engine;100000254708;52;26/02/2026 22:04:05;
engine;100000254711;46;26/02/2026 22:12:14;
engine;100000254715;70;26/02/2026 23:03:51;
